Current Name,Proposed Name,Module,Return Type Current,Return Type Target,Issues,Priority
taiga_authenticate,taiga_authenticate,auth_tools,"dict[str, Any]","dict[str, Any]",,DONE
taiga_refresh_token,taiga_refresh_token,auth_tools,"dict[str, Any]","dict[str, Any]",,DONE
taiga_get_current_user,taiga_get_current_user,auth_tools,"dict[str, Any]","dict[str, Any]",,DONE
taiga_logout,taiga_logout,auth_tools,"dict[str, Any]","dict[str, Any]",,DONE
taiga_check_auth,taiga_check_auth,auth_tools,"dict[str, Any]","dict[str, Any]",,DONE
taiga_cache_stats,taiga_cache_stats,cache_tools,"dict[str, Any]","dict[str, Any]",,DONE
taiga_cache_clear,taiga_cache_clear,cache_tools,"dict[str, Any]","dict[str, Any]",,DONE
taiga_cache_invalidate_project,taiga_cache_invalidate_project,cache_tools,"dict[str, Any]","dict[str, Any]",,DONE
taiga_cache_invalidate_pattern,taiga_cache_invalidate_pattern,cache_tools,"dict[str, Any]","dict[str, Any]",,DONE
taiga_list_epics,taiga_list_epics,epic_tools,"list[dict[str, Any]]","list[dict[str, Any]]",Missing description in decorator,LOW
taiga_create_epic,taiga_create_epic,epic_tools,"dict[str, Any]","dict[str, Any]",Missing description in decorator,LOW
taiga_get_epic,taiga_get_epic,epic_tools,"dict[str, Any]","dict[str, Any]",Missing description in decorator,LOW
taiga_get_epic_by_ref,taiga_get_epic_by_ref,epic_tools,"dict[str, Any]","dict[str, Any]",Missing description in decorator,LOW
taiga_update_epic_full,taiga_update_epic_full,epic_tools,"dict[str, Any]","dict[str, Any]",Missing description in decorator,LOW
taiga_update_epic_partial,taiga_update_epic_partial,epic_tools,"dict[str, Any]","dict[str, Any]",Missing description in decorator,LOW
taiga_delete_epic,taiga_delete_epic,epic_tools,"dict[str, Any]","dict[str, Any]",Missing description in decorator,LOW
taiga_list_epic_related_userstories,taiga_list_epic_related_userstories,epic_tools,"list[dict[str, Any]]","list[dict[str, Any]]",Missing description in decorator,LOW
taiga_create_epic_related_userstory,taiga_create_epic_related_userstory,epic_tools,"dict[str, Any]","dict[str, Any]",Missing description in decorator; Inconsistent naming: 'userstory' should be 'user_story',MEDIUM
taiga_get_epic_related_userstory,taiga_get_epic_related_userstory,epic_tools,"dict[str, Any]","dict[str, Any]",Missing description in decorator; Inconsistent naming: 'userstory' should be 'user_story',MEDIUM
